timestamp,open,high,low,close,volume
2025-05-01,121.9200,125.0800,121.9000,124.0100,9010706
2025-04-30,121.0550,122.2500,118.0500,121.9200,7534188
2025-04-29,123.2800,125.9900,123.1600,125.4900,6525371
2025-04-28,122.5100,125.2300,122.1099,123.3000,5608777
2025-04-25,121.4300,123.0900,120.8301,122.5100,2905028
2025-04-24,118.8600,121.8900,118.0000,121.7100,3690309
2025-04-23,119.7000,122.3200,116.7200,118.2800,5183356
2025-04-22,112.5900,115.8000,112.0500,114.9100,4827240
2025-04-21,111.3200,113.4000,109.7900,111.6100,5695003
2025-04-17,113.7500,114.0000,111.8600,112.7000,4454738
2025-04-16,113.5800,115.6200,111.0300,112.6400,5026557
2025-04-15,114.2250,115.7100,113.5200,114.6400,5182448
2025-04-14,117.3000,118.2900,112.5500,113.2200,4338183
2025-04-11,113.8700,115.4300,111.5900,114.5400,4817600
2025-04-10,117.6100,118.5000,110.0600,113.9100,6929590
2025-04-09,105.7300,123.2950,105.3900,121.3200,12840724
2025-04-08,110.7400,112.9700,104.1500,105.6900,7661500
2025-04-07,103.0100,110.9100,99.8800,106.3000,9975609
2025-04-04,109.2600,110.4200,104.7300,106.6600,10259898
2025-04-03,116.6200,117.1800,111.8000,113.9700,7950574
2025-04-02,119.4800,124.5900,119.0800,122.8000,5184821
2025-04-01,119.6700,121.3500,117.8000,121.1800,3916445
2025-03-31,118.8100,119.9500,115.6800,119.4600,7090262
2025-03-28,125.5400,125.5400,119.9400,120.6900,3997126
2025-03-27,126.0150,127.0900,123.4300,125.6500,4904488
2025-03-26,129.9700,131.0000,127.8500,128.6400,3504665
2025-03-25,129.5500,130.7600,128.5500,129.8800,4362943
2025-03-24,130.2450,130.7200,128.6900,129.8200,3706638
2025-03-21,124.6550,129.2500,123.3000,128.8000,8704602
2025-03-20,124.7000,127.7700,124.3600,126.1500,3260630
2025-03-19,125.1000,127.0800,124.1200,126.0000,4353075
2025-03-18,126.0000,126.0700,123.0000,124.5600,3918026
2025-03-17,123.9000,128.0000,123.7500,126.9400,5266169
2025-03-14,121.8800,124.4500,121.5700,122.8600,4418189
2025-03-13,124.9900,126.2200,119.1500,119.3800,7669670
2025-03-12,127.0000,127.4800,123.5310,126.5500,4834071
2025-03-11,129.9800,130.7686,123.7000,125.4400,9318416
2025-03-10,134.5700,135.9400,130.2000,132.1500,7381195
2025-03-07,134.7100,134.7300,130.3700,134.3900,5616851
2025-03-06,140.3250,140.3250,134.6100,134.7700,5924270
2025-03-05,141.8700,142.7900,139.2100,142.5800,3881642
2025-03-04,139.9950,143.2300,137.8200,141.4200,4799516
2025-03-03,140.3400,144.7500,139.9012,140.9800,6688879
2025-02-28,139.5000,140.1600,137.5900,138.8700,6253063
2025-02-27,144.6300,145.6900,139.0500,139.4500,4411760
2025-02-26,143.1600,145.1300,142.2201,144.0300,2910748
2025-02-25,144.7850,145.1600,140.4000,141.5500,6189194
2025-02-24,147.0000,147.0700,143.8800,144.8200,4478917
